Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
colorless_reproducibility,colorless_pathway,Welcome to DART,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/reproducibility/reproducibility.md target=_blank> Reproducibility, Generalizability, and Reuse </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_reproducibility:value][last-instance]')."
colorless_citizen_science,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/citizen_science/citizen_science.md target=_blank> Citizen Science </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_citizen_science:value][last-instance]')."
colorless_learning_to_learn,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/learning_to_learn/learning_to_learn.md target=_blank> Learning to Learn Data Science </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_learning_to_learn:value][last-instance]')."
colorless_how_to_troubleshoot,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/how_to_troubleshoot/how_to_troubleshoot.md target=_blank> How to Troubleshoot </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_how_to_troubleshoot:value][last-instance]')."
colorless_demystifying_python,colorless_pathway,Learn Python,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/demystifying_python/demystifying_python.md target=_blank> Demystifying Python </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_demystifying_python:value][last-instance]')."
colorless_python_basics_writing_python_code,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/python_basics_writing_python_code/python_basics_writing_python_code.md target=_blank> Python Basics: Writing Python Code </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_python_basics_writing_python_code:value][last-instance]')."
colorless_pandas_transform,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/pandas_transform/pandas_transform.md target=_blank> Transform Data with pandas </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_pandas_transform:value][last-instance]')."
colorless_data_visualization_in_seaborn,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/data_visualization_in_seaborn/data_visualization_in_seaborn.md target=_blank> Data Visualization in seaborn </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_data_visualization_in_seaborn:value][last-instance]')."
colorless_python_practice,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/python_practice/python_practice.md target=_blank> Python Practice </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_python_practice:value][last-instance]')."
colorless_r_basics_introduction,colorless_pathway,Learn R,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/r_basics_introduction/r_basics_introduction.md target=_blank> R Basics: Introduction </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_r_basics_introduction:value][last-instance]')."
colorless_r_basics_transform_data,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/r_basics_transform_data/r_basics_transform_data.md target=_blank> R Basics: Transforming Data With dplyr </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_r_basics_transform_data:value][last-instance]')."
colorless_r_basics_visualize_data,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/r_basics_visualize_data/r_basics_visualize_data.md target=_blank> R Basics: Visualizing Data With ggplot2 </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_r_basics_visualize_data:value][last-instance]')."
colorless_data_visualization_in_ggplot2,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/data_visualization_in_ggplot2/data_visualization_in_ggplot2.md target=_blank> Data Visualization in ggplot2 </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_data_visualization_in_ggplot2:value][last-instance]')."
colorless_r_missing_values,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/r_missing_values/r_missing_values.md target=_blank> Missing Values in R </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_r_missing_values:value][last-instance]')."
colorless_r_reshape_long_wide,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/r_reshape_long_wide/r_reshape_long_wide.md target=_blank> Reshaping Data in R: Long and Wide Data </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_r_reshape_long_wide:value][last-instance]')."
colorless_r_practice,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/r_practice/r_practice.md target=_blank> R Practice </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_r_practice:value][last-instance]')."
colorless_bash_command_line_101,colorless_pathway,Learn Bash and Command Line,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/bash_command_line_101/bash_command_line_101.md target=_blank> Bash / Command Line 101 </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_bash_command_line_101:value][last-instance]')."
colorless_bash_command_line_102,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/bash_command_line_102/bash_command_line_102.md target=_blank> Bash: Searching and Organizing Files </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_bash_command_line_102:value][last-instance]')."
colorless_bash_103_combining_commands,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/bash_103_combining_commands/bash_103_combining_commands.md target=_blank> Bash: Combining Commands </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_bash_103_combining_commands:value][last-instance]')."
colorless_bash_conditionals_loops,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/bash_conditionals_loops/bash_conditionals_loops.md target=_blank> Bash: Conditionals and Loops </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_bash_conditionals_loops:value][last-instance]')."
colorless_bash_scripts,colorless_pathway,,radio,"<a href=https://liascript.github.io/course/?https://raw.githubusercontent.com/arcus/education_modules/main/bash_scripts/bash_scripts.md target=_blank> Bash: Reusable Scripts </a>","0, Not Started | 1, Started | 2, Done!",,,,,,,,RH,,,,"@IF([current-instance]=1,@DEFAULT='0', @SETVALUE='[colorless_bash_scripts:value][last-instance]')."
